planning_id,last_update_date,updated_within_year
248961,2026-02-14,yes
248979,,no
248998,2026-02-21,yes
249010,2026-02-28,yes
249021,,no
249099,,no
249321,2026-02-28,yes
252666,,no
252671,,no
252672,2026-03-10,yes
252676,,no
252682,,no
252686,,no
252689,2025-11-17,yes
252696,2026-03-10,yes
252732,,no
252754,,no
252765,2025-11-17,yes
252803,,no
252815,,no
252816,2026-02-27,yes
252818,2026-03-09,yes
252819,,no
252820,2026-02-21,yes
252821,,no
252823,2026-02-27,yes
252827,2026-02-27,yes
252828,2026-02-27,yes
252829,2026-02-27,yes
252831,2026-02-21,yes
252833,,no
252834,,no
252835,,no
252838,2026-02-27,yes
252843,2026-02-21,yes
252845,2026-03-19,yes
252848,2026-03-19,yes
252849,,no
252850,2026-03-28,yes
252852,2026-01-17,yes
252853,,no
252856,2026-03-28,yes
252857,2026-02-27,yes
252858,2026-03-09,yes
252860,,no
252861,2026-02-27,yes
252862,,no
252865,2026-03-28,yes
252870,2026-04-05,yes
252871,2026-03-19,yes
252874,,no
252875,,no
252876,2026-02-27,yes
252879,2026-03-19,yes
252883,,no
252885,2026-03-09,yes
252887,2026-02-21,yes
252890,2026-03-19,yes
252892,2026-02-14,yes
252895,2026-03-19,yes
252896,,no
252897,2026-02-27,yes
252898,2026-03-19,yes
252899,,no
252901,2026-02-27,yes
252903,2026-03-19,yes
252906,,no
252910,,no
252918,,no
252927,2026-03-19,yes
252931,2026-02-21,yes
252942,,no
252943,2026-02-27,yes
252945,2026-02-14,yes
252946,,no
252949,2026-03-28,yes
252954,,no
252959,2026-02-21,yes
252960,2026-02-21,yes
252966,,no
252973,,no
252974,2026-03-09,yes
252975,2026-03-28,yes
252976,,no
252980,,no
252983,2026-02-14,yes
252986,2026-03-28,yes
252989,2026-02-27,yes
252995,2026-03-28,yes
252997,,no
253000,,no
253001,2026-02-28,yes
253003,2026-02-21,yes
253008,,no
253014,,no
253015,2026-02-28,yes
253020,2026-02-28,yes
253024,,no
253026,2026-02-28,yes
253027,2026-03-19,yes
253028,2026-02-28,yes
253032,2026-02-14,yes
253034,2026-03-19,yes
253035,2026-02-27,yes
253053,2026-03-19,yes
253055,2026-03-19,yes
253057,,no
253068,,no
253070,2026-03-19,yes
253074,,no
253075,2026-02-21,yes
253076,,no
253086,2026-03-19,yes
253101,2026-03-28,yes
253102,2026-03-19,yes
253105,2026-02-27,yes
253113,2026-02-27,yes
253117,2026-02-27,yes
253118,2026-02-14,yes
253122,2026-03-19,yes
253134,2026-02-27,yes
253138,2026-02-21,yes
253140,2026-02-27,yes
253146,2026-03-09,yes
253147,2026-03-19,yes
253153,2026-02-27,yes
253154,,no
253157,2026-02-28,yes
253158,2026-02-14,yes
253159,,no
253161,2026-03-09,yes
253166,2026-02-28,yes
253167,2026-03-28,yes
253168,,no
253171,2026-03-19,yes
253172,2026-03-09,yes
253181,,no
253184,2026-03-19,yes
253185,,no
253188,2026-02-28,yes
253190,2026-02-28,yes
253193,2026-03-09,yes
253196,,no
253198,2026-03-28,yes
253200,2026-03-09,yes
253209,2026-02-14,yes
253217,2026-02-21,yes
253219,2026-02-28,yes
253221,2026-03-09,yes
253226,,no
253228,2026-03-19,yes
253230,2026-02-28,yes
253231,2026-02-28,yes
253234,2026-02-28,yes
253237,2026-03-19,yes
253238,2026-03-28,yes
253240,2026-02-21,yes
253251,2026-03-19,yes
253257,2026-03-19,yes
253260,,no
253262,2026-03-28,yes
253263,,no
253265,2026-02-21,yes
253267,2026-03-19,yes
253268,,no
253271,2026-03-19,yes
253273,2026-02-21,yes
253274,2026-03-28,yes
253275,2026-03-19,yes
253284,2026-03-28,yes
253296,2026-02-21,yes
253305,,no
253308,2026-02-28,yes
253315,,no
253316,2026-02-28,yes
253317,,no
253327,,no
253328,,no
253332,2026-02-14,yes
253337,,no
253345,2026-03-09,yes
253349,2026-02-28,yes
253350,,no
253353,2026-01-17,yes
253355,,no
253356,2026-03-28,yes
253357,,no
253371,2026-02-14,yes
253378,2026-03-28,yes
253379,,no
253382,2026-03-28,yes
253386,,no
253388,2026-03-19,yes
253396,,no
253397,2026-02-14,yes
253400,,no
253405,,no
253410,2026-02-28,yes
253417,2026-02-28,yes
253430,,no
253431,,no
253433,,no
253434,2026-03-19,yes
